Date,Open,High,Low,Close,Adj Close,Volume
12/30/2016,131.146317,133.300858,130.303223,130.86528,130.86528,386236
1/2/2017,132.03624,134.893356,130.069046,133.488205,133.488205,514382
1/3/2017,133.722397,136.438995,133.019836,134.424973,134.424973,385490
1/4/2017,134.940186,135.876953,132.457779,133.11351,133.11351,307749
1/5/2017,134.331299,138.172012,133.535049,136.017456,136.017456,741958
1/6/2017,136.766861,138.921417,136.017456,136.766861,136.766861,459907
1/9/2017,136.766861,138.078339,134.98703,135.595917,135.595917,164723
1/10/2017,135.268051,139.530304,135.268051,136.673187,136.673187,369970
1/11/2017,137.469437,139.951843,135.502243,137.001053,137.001053,369265
1/12/2017,136.86055,138.406204,134.471802,135.549088,135.549088,282282
1/13/2017,136.48584,137.516281,133.019836,134.565491,134.565491,461126
1/16/2017,134.471802,135.361725,132.457779,133.628723,133.628723,206746
1/17/2017,133.300858,138.453033,133.254028,135.923782,135.923782,440930
1/18/2017,136.720032,142.574783,135.830109,139.249283,139.249283,828222
1/19/2017,139.85817,141.919052,139.061935,139.905014,139.905014,362431
1/20/2017,139.670822,140.420227,134.050262,134.893356,134.893356,219782
1/23/2017,135.830109,136.954224,133.956589,134.518646,134.518646,288290
1/24/2017,135.595917,137.516281,134.097107,134.705994,134.705994,278516
1/25/2017,135.502243,143.698883,135.221222,140.93544,140.93544,1213883
1/27/2017,141.029129,145.993942,140.841766,143.417862,143.417862,900114
1/30/2017,142.481094,143.18367,137.890976,138.406204,138.406204,331839
1/31/2017,138.546707,139.530304,132.176743,132.7388,132.7388,333271
2/1/2017,133.019836,134.893356,130.209549,132.926147,132.926147,315722
2/2/2017,133.019836,142.293747,133.019836,140.93544,140.93544,1049786
2/3/2017,141.825363,142.574783,127.867653,130.912125,130.912125,1958484
2/6/2017,132.083069,132.457779,124.588997,125.432083,125.432083,748356
2/7/2017,126.462517,128.523392,121.310341,123.183861,123.183861,636556
2/8/2017,123.933266,126.696709,122.809151,124.120621,124.120621,460168
2/9/2017,125.525757,126.649864,122.715477,123.418045,123.418045,410062
2/10/2017,124.214294,124.588997,120.514091,121.029312,121.029312,471877
2/13/2017,122.715477,122.902832,117.094917,119.296303,119.296303,868468
2/14/2017,119.764687,120.607765,112.411125,112.738991,112.738991,6973293
2/15/2017,104.917046,108.008354,100.982658,104.542343,104.542343,5167461
2/16/2017,104.96389,107.961517,104.96389,106.696892,106.696892,1138295
2/17/2017,107.91468,108.289383,104.589188,105.291756,105.291756,577285
2/20/2017,106.322189,107.446297,104.96389,105.760132,105.760132,524630
2/21/2017,106.228516,106.977921,103.699265,104.214478,104.214478,506068
2/22/2017,104.261314,107.071594,103.137207,105.479103,105.479103,734457
2/23/2017,105.853806,109.27298,104.261314,107.024757,107.024757,890838
2/27/2017,107.539978,108.570412,105.385429,105.713295,105.713295,427592
2/28/2017,105.806969,106.977921,103.980293,104.354996,104.354996,333308
3/1/2017,105.385429,114.09729,104.917046,111.989586,111.989586,3008668
3/2/2017,114.846703,116.90757,113.16053,113.956779,113.956779,1805492
3/3/2017,114.003616,116.626541,111.568039,115.642944,115.642944,850991
3/6/2017,116.158165,116.345512,112.411125,113.863098,113.863098,406989
3/7/2017,113.863098,115.03405,111.989586,112.551636,112.551636,541059
3/8/2017,112.879501,114.003616,110.069229,112.270615,112.270615,523046
3/9/2017,111.474365,113.488396,109.741364,110.35025,110.35025,416553
3/10/2017,111.474365,111.521202,107.727325,108.148872,108.148872,320625
3/14/2017,109.600845,110.584442,107.118431,107.727325,107.727325,603984
3/15/2017,108.195709,109.366653,104.823372,105.338593,105.338593,503893
3/16/2017,105.760132,107.586815,105.760132,106.322189,106.322189,744645
3/17/2017,106.790565,109.7882,106.650055,107.680489,107.680489,533934
3/20/2017,108.008354,109.41349,106.603218,107.633652,107.633652,377870
3/21/2017,107.91468,108.195709,106.322189,107.680489,107.680489,408057
3/22/2017,106.790565,108.991951,106.322189,107.727325,107.727325,510690
3/23/2017,108.195709,108.85144,106.415863,106.837402,106.837402,284551
3/24/2017,107.633652,109.366653,106.134834,108.383057,108.383057,793899
3/27/2017,108.383057,110.959145,107.91468,108.898277,108.898277,838758
3/28/2017,108.945114,112.411125,107.539978,107.774162,107.774162,910554
3/29/2017,108.195709,108.33622,106.509537,106.790565,106.790565,649239
3/30/2017,107.727325,108.804604,106.228516,107.118431,107.118431,318430
3/31/2017,107.352623,108.85144,106.415863,107.727325,107.727325,524559
